exercicio1

mysql> SELECT * FROM DimCustomer;
+-------------+-----------+----------+------------------+------------+--------------+-------------------+
| CustomerKey | FirstName | LastName | EmailAddress     | BirthDate  | CustomerType | DateFirstPurchase |
+-------------+-----------+----------+------------------+------------+--------------+-------------------+
|           1 | João      | Silva    | joao@email.com   | 1990-05-10 | Person       | 2022-01-01        |
|           2 | Maria     | Oliveira | maria@email.com  | 1985-08-22 | Person       | 2023-03-15        |
|           3 | Carlos    | Souza    | carlos@email.com | 1979-11-03 | Company      | 2021-12-11        |
+-------------+-----------+----------+------------------+------------+--------------+-------------------+
3 rows in set (0.00 sec)

mysql> SELECT
    ->
    ->         CustomerType,
    ->
    ->         COUNT(*) Total_Clientes
    ->
    -> FROM DimCustomer
    ->
    -> GROUP BY CustomerType;
+--------------+----------------+
| CustomerType | Total_Clientes |
+--------------+----------------+
| Person       |              2 |
| Company      |              1 |
+--------------+----------------+
2 rows in set (0.00 sec)

exercicio2 

mysql> SELECT * FROM DimEmployee;
ERROR 1146 (42S02): Table 'contoso.dimemployee' doesn't exist
mysql> SELECT
    ->
    ->         DepartmentName,
    ->
    ->         COUNT(*) Total_Funcionarios
    ->
    -> FROM DimEmployee
    ->
    -> GROUP BY DepartmentName;
ERROR 1146 (42S02): Table 'contoso.dimemployee' doesn't exist
mysql>


exercicio3

mysql> SELECT * FROM DimProduct;
+------------+--------------+----------------+-------------------+
| ProductKey | ProductName  | BrandName      | Manufacturer      |
+------------+--------------+----------------+-------------------+
|          1 | Produto 1    | Marca Genérica | Fabricante Padrão |
|          2 | Produto 2    | Marca Genérica | Fabricante Padrão |
|          3 | Produto 3    | Marca Genérica | Fabricante Padrão |
|          4 | Produto 4    | Marca Genérica | Fabricante Padrão |
|          5 | Produto 5    | Marca Genérica | Fabricante Padrão |
|          6 | Produto 6    | Marca Genérica | Fabricante Padrão |
|          7 | Produto 7    | Marca Genérica | Fabricante Padrão |
|          8 | Produto 8    | Marca Genérica | Fabricante Padrão |
|          9 | Produto 9    | Marca Genérica | Fabricante Padrão |
|         10 | Produto 10   | Marca Genérica | Fabricante Padrão |
|         11 | Produto 11   | Marca Genérica | Fabricante Padrão |
|         12 | Produto 12   | Marca Genérica | Fabricante Padrão |
|         13 | Produto 13   | Marca Genérica | Fabricante Padrão |
|         14 | Produto 14   | Marca Genérica | Fabricante Padrão |
|         15 | Produto 15   | Marca Genérica | Fabricante Padrão |
|         16 | Produto 16   | Marca Genérica | Fabricante Padrão |
|         17 | Produto 17   | Marca Genérica | Fabricante Padrão |
|         18 | Produto 18   | Marca Genérica | Fabricante Padrão |
|         19 | Produto 19   | Marca Genérica | Fabricante Padrão |
|         20 | Produto 20   | Marca Genérica | Fabricante Padrão |
|         21 | Produto 21   | Marca Genérica | Fabricante Padrão |
|         22 | Produto 22   | Marca Genérica | Fabricante Padrão |
|         23 | Produto 23   | Marca Genérica | Fabricante Padrão |
|         24 | Produto 24   | Marca Genérica | Fabricante Padrão |
|         25 | Produto 25   | Marca Genérica | Fabricante Padrão |
|         26 | Produto 26   | Marca Genérica | Fabricante Padrão |
|         27 | Produto 27   | Marca Genérica | Fabricante Padrão |
|         28 | Produto 28   | Marca Genérica | Fabricante Padrão |
|         29 | Produto 29   | Marca Genérica | Fabricante Padrão |
|         30 | Produto 30   | Marca Genérica | Fabricante Padrão |
|         31 | Produto 31   | Marca Genérica | Fabricante Padrão |
|         32 | Produto 32   | Marca Genérica | Fabricante Padrão |
|         33 | Produto 33   | Marca Genérica | Fabricante Padrão |
|         34 | Produto 34   | Marca Genérica | Fabricante Padrão |
|         35 | Produto 35   | Marca Genérica | Fabricante Padrão |
|         36 | Produto 36   | Marca Genérica | Fabricante Padrão |
|         37 | Produto 37   | Marca Genérica | Fabricante Padrão |
|         38 | Produto 38   | Marca Genérica | Fabricante Padrão |
|         39 | Produto 39   | Marca Genérica | Fabricante Padrão |
|         40 | Produto 40   | Marca Genérica | Fabricante Padrão |
|         41 | Produto 41   | Marca Genérica | Fabricante Padrão |
|         42 | Produto 42   | Marca Genérica | Fabricante Padrão |
|         43 | Produto 43   | Marca Genérica | Fabricante Padrão |
|         44 | Produto 44   | Marca Genérica | Fabricante Padrão |
|         45 | Produto 45   | Marca Genérica | Fabricante Padrão |
|         46 | Produto 46   | Marca Genérica | Fabricante Padrão |
|         47 | Produto 47   | Marca Genérica | Fabricante Padrão |
|         48 | Produto 48   | Marca Genérica | Fabricante Padrão |
|         49 | Produto 49   | Marca Genérica | Fabricante Padrão |
|         50 | Produto 50   | Marca Genérica | Fabricante Padrão |
|         51 | Produto 51   | Marca Genérica | Fabricante Padrão |
|         52 | Produto 52   | Marca Genérica | Fabricante Padrão |
|         53 | Produto 53   | Marca Genérica | Fabricante Padrão |
|         54 | Produto 54   | Marca Genérica | Fabricante Padrão |
|         55 | Produto 55   | Marca Genérica | Fabricante Padrão |
|         56 | Produto 56   | Marca Genérica | Fabricante Padrão |
|         57 | Produto 57   | Marca Genérica | Fabricante Padrão |
|         58 | Produto 58   | Marca Genérica | Fabricante Padrão |
|         59 | Produto 59   | Marca Genérica | Fabricante Padrão |
|         60 | Produto 60   | Marca Genérica | Fabricante Padrão |
|         61 | Produto 61   | Marca Genérica | Fabricante Padrão |
|         62 | Produto 62   | Marca Genérica | Fabricante Padrão |
|         63 | Produto 63   | Marca Genérica | Fabricante Padrão |
|         64 | Produto 64   | Marca Genérica | Fabricante Padrão |
|         65 | Produto 65   | Marca Genérica | Fabricante Padrão |
|         66 | Produto 66   | Marca Genérica | Fabricante Padrão |
|         67 | Produto 67   | Marca Genérica | Fabricante Padrão |
|         68 | Produto 68   | Marca Genérica | Fabricante Padrão |
|         69 | Produto 69   | Marca Genérica | Fabricante Padrão |
|         70 | Produto 70   | Marca Genérica | Fabricante Padrão |
|         71 | Produto 71   | Marca Genérica | Fabricante Padrão |
|         72 | Produto 72   | Marca Genérica | Fabricante Padrão |
|         73 | Produto 73   | Marca Genérica | Fabricante Padrão |
|         74 | Produto 74   | Marca Genérica | Fabricante Padrão |
|         75 | Produto 75   | Marca Genérica | Fabricante Padrão |
|         76 | Produto 76   | Marca Genérica | Fabricante Padrão |
|         77 | Produto 77   | Marca Genérica | Fabricante Padrão |
|         78 | Produto 78   | Marca Genérica | Fabricante Padrão |
|         79 | Produto 79   | Marca Genérica | Fabricante Padrão |
|         80 | Produto 80   | Marca Genérica | Fabricante Padrão |
|         81 | Produto 81   | Marca Genérica | Fabricante Padrão |
|         82 | Produto 82   | Marca Genérica | Fabricante Padrão |
|         83 | Produto 83   | Marca Genérica | Fabricante Padrão |
|         84 | Produto 84   | Marca Genérica | Fabricante Padrão |
|         85 | Produto 85   | Marca Genérica | Fabricante Padrão |
|         86 | Produto 86   | Marca Genérica | Fabricante Padrão |
|         87 | Produto 87   | Marca Genérica | Fabricante Padrão |
|         88 | Produto 88   | Marca Genérica | Fabricante Padrão |
|         89 | Produto 89   | Marca Genérica | Fabricante Padrão |
|         90 | Produto 90   | Marca Genérica | Fabricante Padrão |
|         91 | Produto 91   | Marca Genérica | Fabricante Padrão |
|         92 | Produto 92   | Marca Genérica | Fabricante Padrão |
|         93 | Produto 93   | Marca Genérica | Fabricante Padrão |
|         94 | Produto 94   | Marca Genérica | Fabricante Padrão |
|         95 | Produto 95   | Marca Genérica | Fabricante Padrão |
|         96 | Produto 96   | Marca Genérica | Fabricante Padrão |
|         97 | Produto 97   | Marca Genérica | Fabricante Padrão |
|         98 | Produto 98   | Marca Genérica | Fabricante Padrão |
|         99 | Produto 99   | Marca Genérica | Fabricante Padrão |
|        100 | Produto 100  | Marca Genérica | Fabricante Padrão |
|        101 | Produto 101  | Marca Genérica | Fabricante Padrão |
|        102 | Produto 102  | Marca Genérica | Fabricante Padrão |
|        103 | Produto 103  | Marca Genérica | Fabricante Padrão |
|        104 | Produto 104  | Marca Genérica | Fabricante Padrão |
|        105 | Produto 105  | Marca Genérica | Fabricante Padrão |
|        106 | Produto 106  | Marca Genérica | Fabricante Padrão |
|        107 | Produto 107  | Marca Genérica | Fabricante Padrão |
|        108 | Produto 108  | Marca Genérica | Fabricante Padrão |
|        109 | Produto 109  | Marca Genérica | Fabricante Padrão |
|        110 | Produto 110  | Marca Genérica | Fabricante Padrão |
|        111 | Produto 111  | Marca Genérica | Fabricante Padrão |
|        112 | Produto 112  | Marca Genérica | Fabricante Padrão |
|        113 | Produto 113  | Marca Genérica | Fabricante Padrão |
|        114 | Produto 114  | Marca Genérica | Fabricante Padrão |
|        115 | Produto 115  | Marca Genérica | Fabricante Padrão |
|        116 | Produto 116  | Marca Genérica | Fabricante Padrão |
